"Activity_ID","ActivityNumber","ActivityName","SeasonName","ChildSeasonName","Type","Status","CategoryName","OtherCategoryName","RiskCategoryName","EnrollMin","EnrollMax","NumberEnrolled","BeginningDate","EndingDate","StartingTime","EndingTime","AgesMin","AgesMinMonth","AgesMinWeek","AgesMax","AgesMaxMonth","AgesMaxWeek","GradeMin","GradeMax","WeekDays","PrimaryInstructorName","NumberOfHours","NumberOfDates","ActivityLocation","FeeDescription","AccountName","KeyFeesTotal","OtherFeesTotal","FeeSummary","Description","PublicURL"
76054,"216.2.0200","Little Dance Divas","Fall 2018","--","Classes","Open","Dance","Southside Community Center",,5,"17",2,"9/10/18","11/5/18","6:00 PM","6:55 PM",3,0,0,6,11,4,,,"M","Dance Arts Academy, Staff","7.333",8,"SS Fitness Room at Southside Community Center","Activity Fee","Southside - Leisure Classes","102.00","106.00","Resident: $102.00. Non-resident: $106.00","A fun beginning dance class where students will learn Ballet warm-ups,  Jazz/ Hip Hop dance and Tap steps! Parents are allowed to stay for the first 10 minutes on the first day of class and are encouraged to attend the last class for a great recital.","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/76054"
77112,"233.2.0240","Baby Ballet (Parent/Child)","Fall 2018","--","Classes","Open","Dance","Willow Glen Community Center",,8,"16",1,"9/15/18","11/3/18","9:15 AM","9:55 AM",2,0,0,2,11,4,,,"Sa","CLAP, Staff","5.333",8,"WS Room 1 at Willow Glen Community & Senior Center","Resident Activity Fee","Willow Glen - Leisure Classes","115.00","119.00","Resident: $115.00. Non-resident: $119.00","""Baby Ballet encourages self-expression and fun! Children learn to respond to music, improve balance and agility, and express their feelings through dance. A variety of music and props such as scarves and teddy bears keep your little one entertained. Suggested Attire: Comfortable clothes or leotards, tights and tutus. Students may dance barefoot or wear ballet shoes.""","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/77112"
77103,"233.2.0220","Dancing Babies","Fall 2018","--","Classes","Open","Dance","Willow Glen Community Center",,6,"10",0,"9/10/18","11/5/18","3:30 PM","4:25 PM",1,5,0,3,11,4,,,"M","Dance Arts Academy, Staff","7.333",8,"WS Room 1 at Willow Glen Community & Senior Center","Resident Activity Fee","Willow Glen - Leisure Classes","102.00","106.00","Resident: $102.00. Non-resident: $106.00","Rock out with a parent or grandparent in this music, movement and dance class. Parent (or other adult) participation in class is required.","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/77103"
77104,"233.2.0221","Hip Hop/ Jazz Dance","Fall 2018","--","Classes","Open","Dance","Willow Glen Community Center",,6,"10",2,"9/10/18","11/5/18","4:30 PM","5:25 PM",3,5,0,6,11,4,,,"M","Dance Arts Academy, Staff","7.333",8,"WS Room 1 at Willow Glen Community & Senior Center","Resident Activity Fee","Willow Glen - Leisure Classes","102.00","106.00","Resident: $102.00. Non-resident: $106.00","Learn both Hip-Hop and Jazz dance moves in this high energy class. Parents are allowed to stay for the first 10 minutes on the first day of class and are encouraged to attend the last class for a great recital.      ","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/77104"
77105,"233.2.0222","Little Dance Divas","Fall 2018","--","Classes","Open","Dance","Willow Glen Community Center",,6,"10",0,"9/10/18","11/5/18","5:30 PM","6:25 PM",3,5,0,6,11,4,,,"M","Dance Arts Academy, Staff","7.333",8,"WS Room 1 at Willow Glen Community & Senior Center","Resident Activity Fee","Willow Glen - Leisure Classes","102.00","106.00","Resident: $102.00. Non-resident: $106.00","A fun beginning dance class where students will learn Ballet warm-ups,  Jazz/ Hip Hop dance and Tap steps! Parents are allowed to stay for the first 10 minutes on the first day of class and are encouraged to attend the last class for a great recital.","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/77105"
77113,"233.2.0241","Pre-Ballet","Fall 2018","--","Classes","Open","Dance","Willow Glen Community Center",,8,"16",1,"9/15/18","11/3/18","10:00 AM","10:45 AM",3,0,0,4,11,4,,,"Sa","CLAP, Staff","6.000",8,"WS Room 1 at Willow Glen Community & Senior Center","Resident Activity Fee","Willow Glen - Leisure Classes","115.00","119.00","Resident: $115.00. Non-resident: $119.00","""A first introduction to ballet - children learn basic ballet positions, steps and routines. They dance to a variety of ballet and age-appropriate music, use props and have lots of fun!   Parents may stay for first 10 min of first class and are invited back at the end of program for a class demonstration. Suggested Attire: Comfortable clothes or leotards, tights and tutus. Students may dance barefoot or wear ballet shoes.""     ","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/77113"
76230,"233.2.0243","Tap & Ballet I","Fall 2018","--","Classes","Open","Dance","Willow Glen Community Center",,8,"10",1,"9/15/18","11/3/18","10:50 AM","11:35 AM",4,0,0,7,11,4,,,"Sa","CLAP, Staff","6.000",8,"WS Room 1 at Willow Glen Community & Senior Center","Activity Fee","Willow Glen - Leisure Classes","115.00","119.00","Resident: $115.00. Non-resident: $119.00","Tap/Ballet I introduces children to the basics of ballet and tap, combining creative movement, grace and balance. Students learn basic tap steps such as shuffles, rhythm exercises, and springs, and elementary ballet including plies, tendus, passes, and the basic ballet positions. Instruction advances with age and ability of participants. Parents may stay for first 10 min of first class and are invited back at the end of program for a class demonstration. Suggested Attire: Comfortable clothes or leotards, tights and tutus. Students are encouraged to bring Tap and Ballet shoes, but may also wear closed-toe shoes for Tap and bare feet for Ballet.","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/76230"
78152,"000.0.0002","Scholarship Tracking List - Citywide Fall 2018","Fall 2018","--","Classes","Open","Drop-In Programs","San Jose PRNS Admin",,0,"Unlimited",9,"7/23/18","12/7/18","12:00 AM","12:00 AM",1,0,0,99,11,4,,,,"Department, Staff","0.000",0,"Location unspecified",,,0,0,"Free","List of participants requesting scholarships after funds have run out.","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/78152"
76458,"252.2.0403","Chemical Engineering: Mix it up","Fall 2018","--","Classes","Open","Education & Enrichment","Almaden Community Center",,8,"24",0,"10/25/18","11/29/18","4:00 PM","5:00 PM",8,0,0,12,11,4,,,"Th","Engineering For Kids, Staff","5.000",5,"AL Room 3 at Almaden Community Center","Activity Fee","Almaden - Leisure Classes","212.00","216.00","Resident: $212.00. Non-resident: $216.00","During our Chemical  Engineering program, students use the Engineering Design Process to design,  create, test, and refine various mixtures and solutions with different chemical  properties. They develop solutions to clean up an oil spill, synthesize their  own rocket fuel, and investigate the secrets behind color pigmentation.    ","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/76458"
76407,"252.2.0401","Junior Chemical Engineering: Crazy Connections","Fall 2018","--","Classes","Open","Education & Enrichment","Almaden Community Center",,8,"24",0,"9/13/18","10/11/18","4:00 PM","5:00 PM",5,0,0,7,11,4,,,"Th","Engineering For Kids, Staff","5.000",5,"AL Room 3 at Almaden Community Center","Activity Fee","Almaden - Leisure Classes","212.00","216.00","Resident: $212.00. Non-resident: $216.00","The Junior Chemical  Engineering classes introduce our youngest engineers to fundamental concepts of  solids, liquids, and solutions. Students investigate the properties of several  crazy connections and make their own samples of bubbles, play dough, flub, and  more.    ","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/76407"
76855,"252.2.0402","Junior WeDo Lego Robotics 2.0:Robots in Motion","Fall 2018","--","Classes","Open","Education & Enrichment","Almaden Community Center",,8,"24",3,"9/13/18","10/11/18","5:10 PM","6:10 PM",5,0,0,7,11,4,,,"Th","Engineering For Kids, Staff","5.000",5,"AL Room 3 at Almaden Community Center","Activity Fee","Almaden - Leisure Classes","212.00","216.00","Resident: $212.00. Non-resident: $216.00","This class is a perfect mixture of fun and learning, using LEGO® WeDo?  Robots. Using LEGO® bricks, students build various robots. They also learn  how to program and operate their creations using a laptop computer or tablet.","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/76855"
76431,"252.2.0404","Lego® Robotics Robo Battles","Fall 2018","--","Classes","Open","Education & Enrichment","Almaden Community Center",,8,"24",0,"10/25/18","11/29/18","5:10 PM","6:10 PM",8,0,0,12,11,4,,,"Th","Engineering For Kids, Staff","5.000",5,"AL Room 3 at Almaden Community Center","Activity Fee","Almaden - Leisure Classes","212.00","216.00","Resident: $212.00. Non-resident: $216.00","During the LEGO® Robo Battles classes students create, program, and  control robots designed to perform challenges such as the SumoBots, Jousting,  and a Catapult Challenge. Students work in pairs using LEGO® Robotics and  computers to learn principles of robotics, computer programming, and teamwork","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/76431"
76461,"252.2.0400","Little Wilderness Medicine (NEW)","Fall 2018","--","Classes","Open","Education & Enrichment","Almaden Community Center",,6,"12",0,"9/19/18","11/14/18","4:00 PM","5:00 PM",6,0,0,12,0,0,,,"W","Little Medical School, Staff","8.000",8,"AL Game Room at Almaden Community Center","Activity Fee","Almaden - Leisure Classes","175.00","179.00","Resident: $175.00. Non-resident: $179.00","Join Little Medical  School and discover the exciting world of Wilderness Medicine! Explore STEM  concepts and gain valuable outdoor skills through interactive role playing,  crafts, and games. Topics include weather exposure emergencies, snake bites,  and more! Each participant will receive a variety of projects and tools. ","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/76461"
76856,"252.2.0405","Minecraft, Animated!","Fall 2018","--","Classes","Open","Education & Enrichment","Almaden Community Center",,10,"12",5,"9/14/18","11/2/18","3:30 PM","4:30 PM",5,0,0,7,11,4,,,"F","Techsplosion, Staff","8.000",8,"AL Room 3 at Almaden Community Center","Activity Fee","Almaden - Leisure Classes","208.00","212.00","Resident: $208.00. Non-resident: $212.00","Get ready to use cameras and Minecraft characters to create  amazing stop-motion animation movies! Whether your story is about fighting the  wither, going on an adventure, or building the coolest pixel art in the  overworld, you?ll have an opportunity to tell it at Minecraft, Animated! We?ll  create real-life sets as we learn about stop-motion animation (think Wallace  and Gromit!), then film, edit, and upload our creations to YouTube!    ","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/76856"
76857,"252.2.0406","Minecraft, Animated!","Fall 2018","--","Classes","Open","Education & Enrichment","Almaden Community Center",,10,"12",1,"9/14/18","11/2/18","4:40 PM","5:40 PM",8,0,0,12,11,4,,,"F","Techsplosion, Staff","8.000",8,"AL Room 3 at Almaden Community Center","Activity Fee","Almaden - Leisure Classes","208.00","212.00","Resident: $208.00. Non-resident: $212.00","Get ready to use cameras and Minecraft characters to create  amazing stop-motion animation movies! Whether your story is about fighting the  wither, going on an adventure, or building the coolest pixel art in the  overworld, you?ll have an opportunity to tell it at Minecraft, Animated! We?ll  create real-life sets as we learn about stop-motion animation (think Wallace  and Gromit!), then film, edit, and upload our creations to YouTube!    ","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/76857"
